,ENTROPY,CRITIC,GINI,MEREC,STAT_VAR,IDOCRIW,ANGLE,COEFF_VAR
$C_{1}$,0.05774123982527558,0.09395973037274406,0.08088182612585613,0.06736260607097229,0.1438550098587266,0.0893621919220372,0.08173220081090099,0.07937803161152937
$C_{2}$,0.09984344420838659,0.09927714146728651,0.10379962928485315,0.12519534764828405,0.1039759354317012,0.07640475631693994,0.1030019779589751,0.10112862874571649
$C_{3}$,0.14267299470615596,0.0661321384417744,0.1282021614045381,0.10348901680232576,0.067307920760792,0.09427110376650502,0.12970157578906233,0.12959494332389979
$C_{4}$,0.09648755755111582,0.0758742125047138,0.10320045496809387,0.09305014033469464,0.0766653735042106,0.07957186098374334,0.10837884943565024,0.10674614740085174
$C_{5}$,0.23608742614614533,0.07119541832280539,0.1635125670101847,0.12458069073502126,0.11288025085954725,0.15423472481776973,0.16235443171854202,0.16678810908555278
$C_{6}$,0.024544385846986636,0.112864733956161,0.05230771611339771,0.06488600466527862,0.07436143664766952,0.07187599333551037,0.053144826055344166,0.0510744244474564
$C_{7}$,0.03243189619619195,0.1206022066599035,0.06038787346527322,0.07710657308829147,0.07392475807920193,0.07682216369855263,0.06073900712409449,0.05850974741527636
$C_{8}$,0.018125833121481933,0.10353630080311349,0.046188400891638254,0.05370818880263466,0.07615030161752975,0.06941786462473401,0.046061419699842995,0.04418298674208412
$C_{9}$,0.05395779988692629,0.065514061851903,0.07309890303402998,0.08710852284465438,0.06056496789983818,0.03970202502294599,0.0816912580887008,0.07933681050515974
$C_{10}$,0.0038634513763125882,0.09843199949836344,0.021150546417216354,0.018565638622768287,0.12602487824452632,0.0170617503327589,0.021710779794852683,0.02051780636449913
$C_{11}$,0.2342439711350213,0.0926120561212313,0.16726992128491838,0.18494727038507458,0.0842891670962565,0.2312755651785028,0.1514836735240341,0.16274236435797412
